"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	0	0	31	31	0	2389192.0	null	null	null	null	0	2389192.0	0	2389192.0	1.7976931348623157E308	0.0	283.6us	30	283.6us	0.007511187256362935	283.6us	30	283.6us	0.007511187256362935	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	1	0	61	30	0	2161639.0	null	null	null	null	0	2161639.0	0	2161639.0	1.7976931348623157E308	0.0	263.5us	30	263.5us	0.003174755314767504	263.5us	30	263.5us	0.003174755314767504	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
4	2	0	91	30	0	2060783.0	null	null	null	null	0	2060783.0	0	2060783.0	1.7976931348623157E308	0.0	273.9us	30	273.9us	0.0015552396430054535	273.9us	30	273.9us	0.0015552396430054535	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
5	2	0	121	30	0	2060783.0	null	null	null	null	0	2060783.0	0	2060783.0	1.7976931348623157E308	0.0	263.1us	30	263.1us	0.0	263.1us	30	263.1us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	3	0	151	30	0	1950520.0	null	null	null	null	0	1950520.0	0	1950520.0	1.7976931348623157E308	0.0	275.1us	30	275.1us	0.0017835130304031685	275.1us	30	275.1us	0.0017835130304031685	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
7	3	0	181	30	0	1887145.0	null	null	null	null	0	1887145.0	0	1887145.0	1.7976931348623157E308	0.0	272.2us	30	272.2us	0.0010830445214609445	272.2us	30	272.2us	0.0010830445214609445	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
8	4	0	211	30	0	1704792.0	null	null	null	null	0	1704792.0	0	1704792.0	1.7976931348623157E308	0.0	282.1us	30	282.1us	0.0032209678288278513	282.1us	30	282.1us	0.0032209678288278513	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
9	4	0	241	30	0	1702731.0	null	null	null	null	0	1702731.0	0	1702731.0	1.7976931348623157E308	0.0	271.7us	30	271.7us	4.029817127250886E-5	271.7us	30	271.7us	4.029817127250886E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	5	0	271	30	0	1690094.0	null	null	null	null	0	1690094.0	0	1690094.0	1.7976931348623157E308	0.0	270.5us	30	270.5us	2.473868939564361E-4	270.5us	30	270.5us	2.473868939564361E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	5	0	301	30	0	1633077.0	null	null	null	null	0	1633077.0	0	1633077.0	1.7976931348623157E308	0.0	276.4us	30	276.4us	0.0011245331127538857	276.4us	30	276.4us	0.0011245331127538857	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
12	6	0	331	30	0	1630900.0	null	null	null	null	0	1630900.0	0	1630900.0	1.7976931348623157E308	0.0	255.4us	30	255.4us	4.443554508860581E-5	255.4us	30	255.4us	4.443554508860581E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
13	6	0	361	30	0	1630900.0	null	null	null	null	0	1630900.0	0	1630900.0	1.7976931348623157E308	0.0	264.5us	30	264.5us	0.0	264.5us	30	264.5us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
14	6	0	391	30	0	1630900.0	null	null	null	null	0	1630900.0	0	1630900.0	1.7976931348623157E308	0.0	272.7us	30	272.7us	0.0	272.7us	30	272.7us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
15	7	0	421	30	0	1608482.0	null	null	null	null	0	1608482.0	0	1608482.0	1.7976931348623157E308	0.0	261.6us	30	261.6us	4.581928178715241E-4	261.6us	30	261.6us	4.581928178715241E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
