"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	40	40	400666	400666	15	4119314.657000247	13	4218170.966604356	4	4232920.65035743	34	4456150.6041044975	3	4384819.518134714	1.7976931348623157E308	0.0	29.522200ms	205	1	2.4264805130502504E-5	29.522200ms	205	1	2.4264805130502504E-5	81.465700ms	100	0	0.00847457640197929	0s	0	0	0.0	0s	0	0	0.0	
3	83	43	400971	305	15	4095681.838635414	13	4218170.966604356	4	4232920.65035743	17	4421544.036938346	32	4334234.545366444	1.7976931348623157E308	0.0	31.300300ms	205	1	2.7985733162713216E-5	31.300300ms	205	1	2.7985733162713216E-5	98.750400ms	100	0	0.002509554211318552	0s	0	0	0.0	0s	0	0	0.0	
4	124	40	401275	304	15	4050533.693864642	13	4218170.966604356	21	4229101.606410758	23	4421334.411751301	41	4330039.952253744	1.7976931348623157E308	0.0	29.787600ms	205	1	5.3772451381069E-5	29.787600ms	205	1	5.3772451381069E-5	83.691ms	100	0	0.0010505350825832916	0s	0	0	0.0	0s	0	0	0.0	
5	164	39	401580	305	15	4022680.1960163284	46	4035637.60227133	13	4218170.966604356	23	4421334.411751301	22	4322362.679307254	1.7976931348623157E308	0.0	29.920400ms	205	1	3.3543905934442746E-5	29.920400ms	205	1	3.3543905934442746E-5	80.371800ms	100	0	0.0012915558881698786	0s	0	0	0.0	0s	0	0	0.0	
6	204	40	401884	304	15	4013946.3090047473	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	26	4315491.270787113	1.7976931348623157E308	0.0	29.463900ms	205	1	1.0591030061985325E-5	29.463900ms	205	1	1.0591030061985325E-5	92.541600ms	100	0	8.467933515074356E-4	0s	0	0	0.0	0s	0	0	0.0	
7	248	43	402189	305	15	3992529.385390546	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	43	4314515.803832867	1.7976931348623157E308	0.0	30.025ms	205	1	2.602745280465855E-5	30.025ms	205	1	2.602745280465855E-5	91.332200ms	100	0	7.651808046821485E-4	0s	0	0	0.0	0s	0	0	0.0	
8	289	41	402494	305	15	3969936.3343464946	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	5	4312874.570464839	1.7976931348623157E308	0.0	29.988700ms	205	1	2.760405608940877E-5	29.988700ms	205	1	2.760405608940877E-5	86.555900ms	100	0	3.156823114916174E-4	0s	0	0	0.0	0s	0	0	0.0	
9	329	40	402799	305	15	3930388.4937081947	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	33	4308708.966643792	1.7976931348623157E308	0.0	29.781400ms	205	1	4.85943046812969E-5	29.781400ms	205	1	4.85943046812969E-5	82.403400ms	100	0	2.6526797680030077E-4	0s	0	0	0.0	0s	0	0	0.0	
10	370	40	403103	304	15	3921692.005037815	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	33	4308708.966643792	1.7976931348623157E308	0.0	29.771500ms	205	1	1.079330860574746E-5	29.771500ms	205	1	1.079330860574746E-5	86.792300ms	100	0	1.6902387948312337E-4	0s	0	0	0.0	0s	0	0	0.0	
11	409	39	403408	305	15	3861994.231046449	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	33	4308708.966643792	1.7976931348623157E308	0.0	29.421600ms	205	1	7.425587048710926E-5	29.421600ms	205	1	7.425587048710926E-5	81.199900ms	100	0	1.012946968722006E-5	0s	0	0	0.0	0s	0	0	0.0	
12	451	41	403713	305	15	3815157.2826492935	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	35	4307740.548429893	1.7976931348623157E308	0.0	30.054ms	205	1	5.915931131481968E-5	30.054ms	205	1	5.915931131481968E-5	89.438200ms	100	0	5.112773010662675E-4	0s	0	0	0.0	0s	0	0	0.0	
13	491	40	404018	305	15	3795060.320903848	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	35	4307740.548429893	1.7976931348623157E308	0.0	29.318200ms	205	1	2.5695915651950573E-5	29.318200ms	205	1	2.5695915651950573E-5	83.326400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
14	529	38	404322	304	15	3793928.027856812	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	35	4307740.548429893	1.7976931348623157E308	0.0	28.200900ms	205	1	1.4554131555764883E-6	28.200900ms	205	1	1.4554131555764883E-6	80.399200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
15	570	41	404627	305	15	3780803.0667852294	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	40	4296780.268387052	1.7976931348623157E308	0.0	29.631500ms	205	1	1.6875438827275536E-5	29.631500ms	205	1	1.6875438827275536E-5	92.110800ms	100	0	1.8918849841749629E-4	0s	0	0	0.0	0s	0	0	0.0	
16	610	39	404932	305	15	3765562.1795710847	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	40	4296780.268387052	1.7976931348623157E308	0.0	29.745100ms	205	1	1.9664021102195597E-5	29.745100ms	205	1	1.9664021102195597E-5	82.725900ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
17	652	41	405237	305	15	3747760.8507418614	46	4035637.60227133	41	4064044.34543506	23	4421334.411751301	40	4296780.268387052	1.7976931348623157E308	0.0	30.523500ms	205	1	2.3060500994394973E-5	30.523500ms	205	1	2.3060500994394973E-5	89.442400ms	100	0	8.997910441015388E-6	0s	0	0	0.0	0s	0	0	0.0	
18	690	38	405542	305	15	3739959.8961636918	46	4035637.60227133	41	4064044.34543506	17	4419981.766920533	10	4294337.990469119	1.7976931348623157E308	0.0	28.454700ms	205	1	1.0153645998823007E-5	28.454700ms	205	1	1.0153645998823007E-5	85.837500ms	100	0	5.122211598198168E-4	0s	0	0	0.0	0s	0	0	0.0	
19	731	40	405847	305	15	3724795.326127562	46	4035637.60227133	41	4064044.34543506	17	4419981.766920533	10	4294337.990469119	1.7976931348623157E308	0.0	29.766800ms	205	1	1.977922609470825E-5	29.766800ms	205	1	1.977922609470825E-5	84.228200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
20	770	39	406151	304	15	3704444.8856372577	46	4035637.60227133	41	4064044.34543506	17	4419981.766920533	10	4294337.990469119	1.7976931348623157E308	0.0	29.230700ms	205	1	2.665124731009709E-5	29.230700ms	205	1	2.665124731009709E-5	81.968100ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
21	815	44	406456	305	15	3678092.8311011186	46	4035637.60227133	41	4064044.34543506	17	4419981.766920533	10	4294337.990469119	1.7976931348623157E308	0.0	30.900900ms	205	1	3.4700639761643635E-5	30.900900ms	205	1	3.4700639761643635E-5	97.332300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
22	854	39	406761	305	15	3666914.0045197075	46	4035637.60227133	41	4064044.34543506	17	4419981.766920533	10	4294337.990469119	1.7976931348623157E308	0.0	29.210100ms	205	1	1.4825852385137152E-5	29.210100ms	205	1	1.4825852385137152E-5	81.961800ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
23	894	39	407066	305	15	3650320.4809779422	46	4035637.60227133	41	4064044.34543506	17	4419981.766920533	10	4294337.990469119	1.7976931348623157E308	0.0	29.071600ms	205	1	2.207415204641703E-5	29.071600ms	205	1	2.207415204641703E-5	88.269400ms	100	0	4.452164724617069E-5	0s	0	0	0.0	0s	0	0	0.0	
24	933	38	407370	304	15	3583815.690311995	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	10	4294337.990469119	1.7976931348623157E308	0.0	28.342300ms	205	1	8.887263863410386E-5	28.342300ms	205	1	8.887263863410386E-5	84.362300ms	100	0	6.612713122257196E-5	0s	0	0	0.0	0s	0	0	0.0	
25	973	40	407675	305	15	3551781.8608380114	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	29.471ms	205	1	4.360229328264238E-5	29.471ms	205	1	4.360229328264238E-5	88.899600ms	100	0	1.9472716477128338E-4	0s	0	0	0.0	0s	0	0	0.0	
26	1013	39	407980	305	15	3521914.6897474127	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	29.502500ms	205	1	4.1019838273722384E-5	29.502500ms	205	1	4.1019838273722384E-5	81.395400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
27	1055	42	408284	304	15	3461559.0841567214	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	29.830500ms	205	1	8.35958886523712E-5	29.830500ms	205	1	8.35958886523712E-5	99.205300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
28	1095	40	408589	305	15	3449313.6380090136	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	29.859700ms	205	1	1.7256352468675837E-5	29.859700ms	205	1	1.7256352468675837E-5	81.373500ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
29	1135	40	408893	304	15	3438836.457720482	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	29.339900ms	205	1	1.481691776771076E-5	29.339900ms	205	1	1.481691776771076E-5	91.623100ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
30	1174	39	409198	305	15	3438090.8515118314	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	29.007900ms	205	1	1.057655256813821E-6	29.007900ms	205	1	1.057655256813821E-6	80.714800ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
31	1215	40	409501	303	15	3393097.8226381275	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	30.084200ms	205	1	6.38372280160404E-5	30.084200ms	205	1	6.38372280160404E-5	81.874400ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
32	1255	40	409806	305	15	3379201.1804660833	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	30.601200ms	205	1	1.997835074130257E-5	30.601200ms	205	1	1.997835074130257E-5	81.556300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
33	1297	41	410111	305	15	3346876.270392273	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	29.250800ms	205	1	4.666265183512384E-5	29.250800ms	205	1	4.666265183512384E-5	90.905300ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
34	1336	39	410415	304	15	3346876.270392273	46	4035637.60227133	41	4064044.34543506	17	4390753.69549028	8	4292333.887546136	1.7976931348623157E308	0.0	28.920200ms	205	0	0.0	28.920200ms	205	0	0.0	81.616200ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
