"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	0	0	31	31	0	1531525.0	null	null	null	null	0	1531525.0	0	1531525.0	1.7976931348623157E308	0.0	251.7us	30	251.7us	0.00662648585475688	251.7us	30	251.7us	0.00662648585475688	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	1	0	61	30	0	1419008.0	null	null	null	null	0	1419008.0	0	1419008.0	1.7976931348623157E308	0.0	232.6us	30	232.6us	0.0024489098556449724	232.6us	30	232.6us	0.0024489098556449724	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
4	2	0	91	30	0	1365278.0	null	null	null	null	0	1365278.0	0	1365278.0	1.7976931348623157E308	0.0	252.1us	30	252.1us	0.001262149332491432	252.1us	30	252.1us	0.001262149332491432	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
5	2	0	121	30	0	1353244.0	null	null	null	null	0	1353244.0	0	1353244.0	1.7976931348623157E308	0.0	234.3us	30	234.3us	2.938107354936751E-4	234.3us	30	234.3us	2.938107354936751E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	3	0	151	30	0	1343883.0	null	null	null	null	0	1343883.0	0	1343883.0	1.7976931348623157E308	0.0	248.2us	30	248.2us	2.305817231285201E-4	248.2us	30	248.2us	2.305817231285201E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
7	3	0	181	30	0	1343883.0	null	null	null	null	0	1343883.0	0	1343883.0	1.7976931348623157E308	0.0	231.8us	30	231.8us	0.0	231.8us	30	231.8us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
8	4	0	211	30	0	1298933.0	null	null	null	null	0	1298933.0	0	1298933.0	1.7976931348623157E308	0.0	251.9us	30	251.9us	0.0011149284077061282	251.9us	30	251.9us	0.0011149284077061282	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
9	4	0	241	30	0	1154816.0	null	null	null	null	0	1154816.0	0	1154816.0	1.7976931348623157E308	0.0	258.1us	30	258.1us	0.003698343178593507	258.1us	30	258.1us	0.003698343178593507	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	5	0	271	30	0	1154816.0	null	null	null	null	0	1154816.0	0	1154816.0	1.7976931348623157E308	0.0	245us	30	245us	0.0	245us	30	245us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	6	0	301	30	0	1140175.0	null	null	null	null	0	1140175.0	0	1140175.0	1.7976931348623157E308	0.0	259.8us	30	259.8us	4.226070069459853E-4	259.8us	30	259.8us	4.226070069459853E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
12	6	0	331	30	0	1140175.0	null	null	null	null	0	1140175.0	0	1140175.0	1.7976931348623157E308	0.0	247.3us	30	247.3us	0.0	247.3us	30	247.3us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
13	7	0	361	30	0	1140175.0	null	null	null	null	0	1140175.0	0	1140175.0	1.7976931348623157E308	0.0	241.3us	30	241.3us	0.0	241.3us	30	241.3us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
14	7	0	391	30	0	1140175.0	null	null	null	null	0	1140175.0	0	1140175.0	1.7976931348623157E308	0.0	290.2us	30	290.2us	0.0	290.2us	30	290.2us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
15	8	0	421	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	228.8us	30	228.8us	6.080937867725123E-6	228.8us	30	228.8us	6.080937867725123E-6	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
16	8	0	451	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	254us	30	254us	0.0	254us	30	254us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
17	9	0	481	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	223.9us	30	223.9us	0.0	223.9us	30	223.9us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
18	9	0	511	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	254us	30	254us	0.0	254us	30	254us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
19	10	0	541	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	225.7us	30	225.7us	0.0	225.7us	30	225.7us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
20	11	0	571	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	247.3us	30	247.3us	0.0	247.3us	30	247.3us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
21	11	0	601	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	229.4us	30	229.4us	0.0	229.4us	30	229.4us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
22	12	0	631	30	0	1139967.0	null	null	null	null	0	1139967.0	0	1139967.0	1.7976931348623157E308	0.0	255.8us	30	255.8us	0.0	255.8us	30	255.8us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
23	12	0	661	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	248us	30	248us	2.2275498618234968E-4	248us	30	248us	2.2275498618234968E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
24	13	0	691	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	252us	30	252us	0.0	252us	30	252us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
25	13	0	721	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	229.8us	30	229.8us	0.0	229.8us	30	229.8us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
26	14	0	751	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	241.2us	30	241.2us	0.0	241.2us	30	241.2us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
27	14	0	781	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	248.6us	30	248.6us	0.0	248.6us	30	248.6us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
28	15	0	811	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	256.7us	30	256.7us	0.0	256.7us	30	256.7us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
29	16	0	841	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	247.9us	30	247.9us	0.0	247.9us	30	247.9us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
30	16	0	871	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	235.2us	30	235.2us	0.0	235.2us	30	235.2us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
31	17	0	901	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	242.5us	30	242.5us	0.0	242.5us	30	242.5us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
32	17	0	931	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	235.2us	30	235.2us	0.0	235.2us	30	235.2us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
33	18	0	961	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	235us	30	235us	0.0	235us	30	235us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
34	19	0	991	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	240.1us	30	240.1us	0.0	240.1us	30	240.1us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
35	19	0	1021	30	0	1132349.0	null	null	null	null	0	1132349.0	0	1132349.0	1.7976931348623157E308	0.0	246.9us	30	246.9us	0.0	246.9us	30	246.9us	0.0	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
