"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementPercentagePerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementPercentagePerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementPercentagePerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementPercentagePerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementPercentagePerBudgetOfBoostOnBest"	
2	41	41	400630	400630	36	4057680.296621819	46	4143521.696358868	26	4157565.6436151946	45	4465804.856646088	11	4370645.192180007	1.7976931348623157E308	0.0	30.316700ms	205	1	6.695524492573468E-5	30.316700ms	205	1	6.695524492573468E-5	87.551200ms	100	0	0.009949637037427921	0s	0	0	0.0	0s	0	0	0.0	
3	81	40	400935	305	36	3996238.9170391457	46	4143521.696358868	26	4157565.6436151946	44	4450335.213279708	48	4341323.606041579	1.7976931348623157E308	0.0	29.725900ms	205	1	7.386339603794583E-5	29.725900ms	205	1	7.386339603794583E-5	81.092900ms	100	0	0.002997645913885237	0s	0	0	0.0	0s	0	0	0.0	
4	124	42	401240	305	36	3993291.2416262934	46	4143521.696358868	26	4157565.6436151946	12	4429673.148373262	10	4334119.449917136	1.7976931348623157E308	0.0	31.204500ms	205	1	3.5981093101390388E-6	31.204500ms	205	1	3.5981093101390388E-6	89.230500ms	100	0	0.0016117487107008466	0s	0	0	0.0	0s	0	0	0.0	
5	165	40	401545	305	36	3973199.992629566	46	4143521.696358868	26	4157565.6436151946	43	4428748.430776403	0	4330630.108757183	1.7976931348623157E308	0.0	30.673600ms	205	1	2.4542685904133515E-5	30.673600ms	205	1	2.4542685904133515E-5	81.822400ms	100	0	4.107049582612288E-4	0s	0	0	0.0	0s	0	0	0.0	
6	205	40	401850	305	36	3931415.8872991614	46	4143521.696358868	26	4157565.6436151946	43	4428748.430776403	0	4330630.108757183	1.7976931348623157E308	0.0	29.275ms	205	1	5.12999356762452E-5	29.275ms	205	1	5.12999356762452E-5	86.395100ms	100	0	7.671679808823884E-5	0s	0	0	0.0	0s	0	0	0.0	
7	246	40	402155	305	36	3901769.7886180393	46	4143521.696358868	26	4157565.6436151946	14	4426796.52982875	20	4321052.006456348	1.7976931348623157E308	0.0	29.230300ms	205	1	3.6784486725218125E-5	29.230300ms	205	1	3.6784486725218125E-5	90.655500ms	100	0	6.81658418706702E-4	0s	0	0	0.0	0s	0	0	0.0	
8	286	40	402460	305	36	3880532.220146539	46	4143521.696358868	26	4157565.6436151946	14	4426796.52982875	20	4321052.006456348	1.7976931348623157E308	0.0	30.253500ms	205	1	2.65515139527542E-5	30.253500ms	205	1	2.65515139527542E-5	81.769300ms	100	0	5.147549311563693E-5	0s	0	0	0.0	0s	0	0	0.0	
9	329	42	402765	305	36	3875047.0136234895	46	4143521.696358868	26	4157565.6436151946	14	4426796.52982875	20	4321052.006456348	1.7976931348623157E308	0.0	30.329ms	205	1	6.895215262373226E-6	30.329ms	205	1	6.895215262373226E-6	94.657900ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
10	369	39	403069	304	36	3868480.9541923995	46	4143521.696358868	26	4157565.6436151946	14	4426796.52982875	24	4312617.134815703	1.7976931348623157E308	0.0	29.736ms	205	1	8.265592156129533E-6	29.736ms	205	1	8.265592156129533E-6	81.517ms	100	0	7.580552666526163E-4	0s	0	0	0.0	0s	0	0	0.0	
11	410	41	403374	305	36	3865085.3866146063	46	4143521.696358868	26	4157565.6436151946	14	4426796.52982875	28	4307364.133044034	1.7976931348623157E308	0.0	30.010900ms	205	1	4.281717934779394E-6	30.010900ms	205	1	4.281717934779394E-6	87.659600ms	100	0	3.149968436876871E-4	0s	0	0	0.0	0s	0	0	0.0	
12	449	39	403678	304	36	3813806.2015055297	46	4143521.696358868	26	4157565.6436151946	14	4426796.52982875	28	4307364.133044034	1.7976931348623157E308	0.0	28.545600ms	205	1	6.471845803252403E-5	28.545600ms	205	1	6.471845803252403E-5	83.288500ms	100	0	0.0	0s	0	0	0.0	0s	0	0	0.0	
13	490	41	403983	305	36	3797994.6518231323	46	4143521.696358868	26	4157565.6436151946	14	4426796.52982875	31	4301829.318046231	1.7976931348623157E308	0.0	29.412600ms	205	1	2.022376244901853E-5	29.412600ms	205	1	2.022376244901853E-5	87.495ms	100	0	1.0968791954630518E-4	0s	0	0	0.0	0s	0	0	0.0	
