"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	21	21	213616	213616	4	4.127600471E9	41	4.162812232E9	26	4.1715083E9	1	4.596529335E9	44	4.241851417E9	1.7976931348623157E308	0.0	15.350300ms	210	15.350300ms	1.3048864183893178E-4	15.350300ms	210	15.350300ms	1.3048864183893178E-4	48.486200ms	100	48.486200ms	0.040637046150883996	0s	0	0s	0.0	0s	0	0s	0.0	
3	42	20	213926	310	33	3.770929071E9	36	3.788533091E9	14	3.799691571E9	27	4.230606383E9	48	3.892456862E9	1.7976931348623157E308	0.0	13.902500ms	210	13.902500ms	1.0518865061189766E-4	13.902500ms	210	13.902500ms	1.0518865061189766E-4	47.564800ms	100	47.564800ms	0.04118882715980658	0s	0	0s	0.0	0s	0	0s	0.0	
4	63	20	214235	309	45	3.45416334E9	26	3.462183632E9	32	3.468753641E9	14	3.799691571E9	46	3.55017056E9	1.7976931348623157E308	0.0	14.498600ms	210	14.498600ms	5.032588754861582E-5	14.498600ms	210	14.498600ms	5.032588754861582E-5	47.650100ms	100	47.650100ms	0.043631149917346616	0s	0	0s	0.0	0s	0	0s	0.0	
5	83	20	214545	310	36	3.072580419E9	41	3.073058988E9	47	3.10074278E9	10	3.523341485E9	11	3.247501756E9	1.7976931348623157E308	0.0	13.939600ms	210	13.939600ms	7.429102588276511E-5	13.939600ms	210	13.939600ms	7.429102588276511E-5	46.863200ms	100	46.863200ms	0.04463423700173916	0s	0	0s	0.0	0s	0	0s	0.0	
6	104	20	214855	310	30	2.82548266E9	40	2.827089082E9	42	2.841125145E9	3	3.416502792E9	20	2.981310857E9	1.7976931348623157E308	0.0	14.693300ms	210	14.693300ms	5.770944771734518E-5	14.693300ms	210	14.693300ms	5.770944771734518E-5	47.244500ms	100	47.244500ms	0.039027007754608635	0s	0	0s	0.0	0s	0	0s	0.0	
7	126	21	215165	310	40	2.57722589E9	39	2.60128185E9	4	2.626121554E9	14	3.039686453E9	18	2.752502905E9	1.7976931348623157E308	0.0	14.233300ms	210	14.233300ms	3.1550462855887774E-5	14.233300ms	210	14.233300ms	3.1550462855887774E-5	57.729800ms	100	57.729800ms	0.03904976031324418	0s	0	0s	0.0	0s	0	0s	0.0	
8	147	21	215475	310	6	2.453395611E9	5	2.47126454E9	11	2.485678394E9	30	2.766224355E9	36	2.554935942E9	1.7976931348623157E308	0.0	15.081200ms	210	15.081200ms	9.189912705859438E-5	15.081200ms	210	15.081200ms	9.189912705859438E-5	45.894ms	100	45.894ms	0.0336506740004364	0s	0	0s	0.0	0s	0	0s	0.0	
9	167	20	215785	310	13	2.287071519E9	11	2.313532305E9	34	2.314091229E9	20	2.586166502E9	29	2.390357236E9	1.7976931348623157E308	0.0	14.648200ms	210	14.648200ms	5.3083918385208424E-5	14.648200ms	210	14.648200ms	5.3083918385208424E-5	44.952300ms	100	44.952300ms	0.033185487466363475	0s	0	0s	0.0	0s	0	0s	0.0	
10	187	20	216095	310	15	2.160631487E9	11	2.188989166E9	46	2.189284884E9	20	2.367221826E9	13	2.274895956E9	1.7976931348623157E308	0.0	14.182800ms	210	14.182800ms	2.535070326699825E-5	14.182800ms	210	14.182800ms	2.535070326699825E-5	44.790800ms	100	44.790800ms	0.026410070085554252	0s	0	0s	0.0	0s	0	0s	0.0	
11	207	19	216405	310	46	2.011861485E9	2	2.10109534E9	26	2.104494642E9	30	2.345882519E9	20	2.178002561E9	1.7976931348623157E308	0.0	14.049700ms	210	14.049700ms	3.189664266713066E-5	14.049700ms	210	14.049700ms	3.189664266713066E-5	44.434500ms	100	44.434500ms	0.020472081813194345	0s	0	0s	0.0	0s	0	0s	0.0	
12	228	20	216715	310	35	1.997637012E9	46	2.007923501E9	28	2.012181754E9	5	2.178948297E9	40	2.089501811E9	1.7976931348623157E308	0.0	14.669500ms	210	14.669500ms	9.320872685181225E-6	14.669500ms	210	14.669500ms	9.320872685181225E-6	44.372100ms	100	44.372100ms	0.019702329591763976	0s	0	0s	0.0	0s	0	0s	0.0	
