"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	255	255	1300	1300	57	3.406662645E9	39	4.419996653E9	99	4.422508733E9	65	4.840396101E9	13	4.546242213E9	1.7976931348623157E308	0.0	247.748300ms	1100	247.748300ms	2.5572076731930567E-4	247.748300ms	1100	247.748300ms	2.5572076731930567E-4	54.044500ms	100	54.044500ms	0.06276109949023694	0s	0	0s	0.0	0s	0	0s	0.0	
3	470	215	2499	1199	57	3.105841242E9	63	4.017844535E9	24	4.062330312E9	41	4.502143921E9	67	4.228090975E9	1.7976931348623157E308	0.0	208.093400ms	1100	208.093400ms	8.027622081354425E-5	208.093400ms	1100	208.093400ms	8.027622081354425E-5	54.545300ms	100	54.545300ms	0.06680791707154828	0s	0	0s	0.0	0s	0	0s	0.0	
4	693	222	3698	1199	57	2.99563248E9	55	3.725120899E9	47	3.746947023E9	22	4.209457827E9	71	3.908926697E9	1.7976931348623157E308	0.0	214.599200ms	1100	214.599200ms	3.225850126577834E-5	214.599200ms	1100	214.599200ms	3.225850126577834E-5	56.727400ms	100	56.727400ms	0.0754950104433486	0s	0	0s	0.0	0s	0	0s	0.0	
5	913	220	4898	1200	57	2.895503869E9	27	3.414979E9	86	3.439854092E9	64	3.891164391E9	67	3.614473581E9	1.7976931348623157E308	0.0	213.778900ms	1100	213.778900ms	3.0386240838195168E-5	213.778900ms	1100	213.778900ms	3.0386240838195168E-5	54.352900ms	100	54.352900ms	0.0765140872426031	0s	0	0s	0.0	0s	0	0s	0.0	
6	1169	255	6097	1199	57	2.824063913E9	47	3.118166005E9	41	3.141351542E9	71	3.651989562E9	0	3.302229169E9	1.7976931348623157E308	0.0	248.391600ms	1100	248.391600ms	2.2429745385864114E-5	248.391600ms	1100	248.391600ms	2.2429745385864114E-5	52.344800ms	100	52.344800ms	0.08180426044218106	0s	0	0s	0.0	0s	0	0s	0.0	
7	1427	258	7297	1200	57	2.768068059E9	41	2.866326768E9	80	2.878473666E9	70	3.352359725E9	45	3.013578847E9	1.7976931348623157E308	0.0	251.055ms	1100	251.055ms	1.8025555860775487E-5	251.055ms	1100	251.055ms	1.8025555860775487E-5	50.821600ms	100	50.821600ms	0.0827720614305596	0s	0	0s	0.0	0s	0	0s	0.0	
8	1684	256	8497	1200	62	2.635117596E9	53	2.647644423E9	58	2.654536036E9	85	3.040999391E9	73	2.772255785E9	1.7976931348623157E308	0.0	249.679400ms	1100	249.679400ms	7.109020225930013E-6	249.679400ms	1100	249.679400ms	7.109020225930013E-6	49.988500ms	100	49.988500ms	0.08040643421897474	0s	0	0s	0.0	0s	0	0s	0.0	
9	1938	254	9696	1199	99	2.378909534E9	63	2.391395217E9	55	2.398707267E9	69	2.74751442E9	60	2.545918521E9	1.7976931348623157E308	0.0	247.428ms	1100	247.428ms	4.842128115788274E-5	247.428ms	1100	247.428ms	4.842128115788274E-5	49.636900ms	100	49.636900ms	0.08423111176491456	0s	0	0s	0.0	0s	0	0s	0.0	
10	2157	219	10896	1200	45	2.184907717E9	73	2.215086985E9	43	2.240785919E9	49	2.588086386E9	33	2.365053074E9	1.7976931348623157E308	0.0	212.549200ms	1100	212.549200ms	1.8578889462186332E-5	212.549200ms	1100	212.549200ms	1.8578889462186332E-5	50.538700ms	100	50.538700ms	0.06909196653925585	0s	0	0s	0.0	0s	0	0s	0.0	
11	2376	218	12095	1199	68	2.05710764E9	64	2.092620582E9	56	2.099597897E9	44	2.375702755E9	74	2.228986596E9	1.7976931348623157E308	0.0	211.538200ms	1100	211.538200ms	2.7255446530397072E-5	211.538200ms	1100	211.538200ms	2.7255446530397072E-5	52.073ms	100	52.073ms	0.05879036719016464	0s	0	0s	0.0	0s	0	0s	0.0	
