"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	1361	1361	1399	1399	9	1383557.0	39	2106881.0	93	2171671.0	88	1.16218701729180912E17	14	2401888.0	1.7976931348623157E308	0.0	638.465399ms	1200	638.465399ms	3.9062388007282217E-4	638.465399ms	1200	638.465399ms	3.9062388007282217E-4	6.798410904s	100	6.798410904s	0.334516835710582	0s	0	0s	0.0	0s	0	0s	0.0	
3	2027	665	2699	1300	9	1002348.0	98	1904048.0	49	1918665.0	85	2704464.0	92	2186627.0	1.7976931348623157E308	0.0	531.621700ms	1200	531.621700ms	2.2960685151870625E-4	531.621700ms	1200	531.621700ms	2.2960685151870625E-4	1.265683599s	100	1.265683599s	0.14563731818602793	0s	0	0s	0.0	0s	0	0s	0.0	
4	2507	480	3999	1300	9	817900.0	81	1670109.0	18	1712673.0	89	2374979.0	25	2039906.0	1.7976931348623157E308	0.0	392.103500ms	1200	392.103500ms	1.5334660882913585E-4	392.103500ms	1200	392.103500ms	1.5334660882913585E-4	823.201ms	100	823.201ms	0.08720373721504943	0s	0	0s	0.0	0s	0	0s	0.0	
5	2978	471	5299	1300	9	755807.0	4	1346613.0	90	1392902.0	84	2157889.0	63	1782743.0	1.7976931348623157E308	0.0	397.858ms	1200	397.858ms	6.326466153156454E-5	397.858ms	1200	397.858ms	6.326466153156454E-5	646.072499ms	100	646.072499ms	0.1107982653795954	0s	0	0s	0.0	0s	0	0s	0.0	
6	3407	428	6599	1300	9	722938.0	52	1214332.0	50	1233759.0	73	1902052.0	5	1599035.0	1.7976931348623157E308	0.0	379.474600ms	1200	379.474600ms	3.624051289989818E-5	379.474600ms	1200	379.474600ms	3.624051289989818E-5	397.867403ms	100	397.867403ms	0.10374119746097342	0s	0	0s	0.0	0s	0	0s	0.0	
7	3955	547	7898	1299	9	689878.0	82	1085304.0	39	1094855.0	47	1806838.0	57	1375639.0	1.7976931348623157E308	0.0	396.398700ms	1200	396.398700ms	3.8108385504704393E-5	396.398700ms	1200	396.398700ms	3.8108385504704393E-5	1.602411905s	100	1.602411905s	0.12100034571716126	0s	0	0s	0.0	0s	0	0s	0.0	
8	4377	421	9197	1299	9	671237.0	8	880036.0	5	964021.0	85	1517678.0	24	1254821.0	1.7976931348623157E308	0.0	366.944999ms	1200	366.944999ms	2.251726633791288E-5	366.944999ms	1200	366.944999ms	2.251726633791288E-5	499.769792ms	100	499.769792ms	0.09260914693283753	0s	0	0s	0.0	0s	0	0s	0.0	
9	4819	442	10497	1300	9	653568.0	46	873762.0	8	880036.0	80	1414490.0	79	1137025.0	1.7976931348623157E308	0.0	389.986201ms	1200	389.986201ms	2.193586865245308E-5	389.986201ms	1200	389.986201ms	2.193586865245308E-5	414.347001ms	100	414.347001ms	0.08351552849493783	0s	0	0s	0.0	0s	0	0s	0.0	
10	5262	443	11797	1300	9	629122.0	49	792580.0	60	799497.0	84	1276471.0	20	1026256.0	1.7976931348623157E308	0.0	395.356500ms	1200	395.356500ms	3.1169926720198416E-5	395.356500ms	1200	395.356500ms	3.1169926720198416E-5	394.887797ms	100	394.887797ms	0.08267750821025237	0s	0	0s	0.0	0s	0	0s	0.0	
11	5702	439	13097	1300	9	611458.0	64	734952.0	23	751716.0	51	1136590.0	5	964021.0	1.7976931348623157E308	0.0	395.088400ms	1200	395.088400ms	2.3397687570932227E-5	395.088400ms	1200	395.088400ms	2.3397687570932227E-5	390.890604ms	100	390.890604ms	0.063945370805125	0s	0	0s	0.0	0s	0	0s	0.0	
