"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	562	562	2150762	2150762	0	886305.0	1	1249894.0	2	1254740.0	99	1318030.0	48	1303971.0	1.7976931348623157E308	0.0	391.935ms	1100	391.935ms	2.6238218044757276E-4	391.935ms	1100	391.935ms	2.6238218044757276E-4	1.838922800s	100	1.838922800s	6.679012901728754E-4	0s	0	0s	0.0	0s	0	0s	0.0	
3	966	404	2151961	1199	0	815810.0	9	1109980.0	85	1211768.0	99	1318030.0	47	1303236.0	1.7976931348623157E308	0.0	374.162700ms	1100	374.162700ms	7.230734751170723E-5	374.162700ms	1100	374.162700ms	7.230734751170723E-5	307.308900ms	100	307.308900ms	0.0030997629671950535	0s	0	0s	0.0	0s	0	0s	0.0	
4	1380	413	2153161	1200	0	737229.0	68	884848.0	38	1027553.0	99	1318030.0	37	1296709.0	1.7976931348623157E308	0.0	383.226800ms	1100	383.226800ms	8.756606651949934E-5	383.226800ms	1100	383.226800ms	8.756606651949934E-5	295.590800ms	100	295.590800ms	0.0117078443868117	0s	0	0s	0.0	0s	0	0s	0.0	
5	1771	391	2154361	1200	0	694881.0	68	884848.0	81	970654.0	99	1318030.0	28	1292085.0	1.7976931348623157E308	0.0	368.958ms	1100	368.958ms	5.222011317810587E-5	368.958ms	1100	368.958ms	5.222011317810587E-5	193.852300ms	100	193.852300ms	0.015385580717572279	0s	0	0s	0.0	0s	0	0s	0.0	
6	2166	395	2155561	1200	0	661048.0	68	884848.0	45	909802.0	99	1318030.0	14	1278568.0	1.7976931348623157E308	0.0	376.65ms	1100	376.65ms	4.426264745657559E-5	376.65ms	1100	376.65ms	4.426264745657559E-5	172.233300ms	100	172.233300ms	0.024820842070742356	0s	0	0s	0.0	0s	0	0s	0.0	
7	2552	386	2156761	1200	0	635599.0	68	884848.0	45	909802.0	99	1318030.0	11	1229370.0	1.7976931348623157E308	0.0	371.463300ms	1100	371.463300ms	3.499814619430739E-5	371.463300ms	1100	371.463300ms	3.499814619430739E-5	110.801ms	100	110.801ms	0.030606043009895077	0s	0	0s	0.0	0s	0	0s	0.0	
8	2940	388	2157961	1200	0	624835.0	81	714491.0	90	846583.0	97	1317666.0	50	1085459.0	1.7976931348623157E308	0.0	376.425600ms	1100	376.425600ms	1.539564182047885E-5	376.425600ms	1100	376.425600ms	1.539564182047885E-5	94.004300ms	100	94.004300ms	0.0703877494844201	0s	0	0s	0.0	0s	0	0s	0.0	
9	3328	387	2159161	1200	0	609392.0	81	714491.0	47	749443.0	22	1289358.0	62	997096.0	1.7976931348623157E308	0.0	375.837400ms	1100	375.837400ms	2.2468477132508486E-5	375.837400ms	1100	375.837400ms	2.2468477132508486E-5	94.258900ms	100	94.258900ms	0.0831381912677665	0s	0	0s	0.0	0s	0	0s	0.0	
10	3737	409	2160360	1199	0	595021.0	80	657445.0	7	704682.0	82	1130299.0	64	923971.0	1.7976931348623157E308	0.0	394.969800ms	1100	394.969800ms	2.143865599572268E-5	394.969800ms	1100	394.969800ms	2.143865599572268E-5	110.685100ms	100	110.685100ms	0.0788744155105699	0s	0	0s	0.0	0s	0	0s	0.0	
11	4121	384	2161559	1199	0	577937.0	80	657445.0	28	662513.0	31	1038848.0	39	845878.0	1.7976931348623157E308	0.0	372.085900ms	1100	372.085900ms	2.610144699247434E-5	372.085900ms	1100	372.085900ms	2.610144699247434E-5	88.771800ms	100	88.771800ms	0.07258170691567468	0s	0	0s	0.0	0s	0	0s	0.0	
12	4511	389	2162759	1200	0	568084.0	5	620693.0	51	623388.0	31	992750.0	11	783775.0	1.7976931348623157E308	0.0	375.354200ms	1100	375.354200ms	1.549870094365428E-5	375.354200ms	1100	375.354200ms	1.549870094365428E-5	108.985800ms	100	108.985800ms	0.06866558070588041	0s	0	0s	0.0	0s	0	0s	0.0	
