"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	53	53	10913	10913	0	71541.735	1	81214.606	2	82779.96400000002	9	89348.50699999998	5	84640.754	1.7976931348623157E308	0.0	26.944900ms	110	26.944900ms	4.3885057290052977E-4	26.944900ms	110	26.944900ms	4.3885057290052977E-4	21.320100ms	20	21.320100ms	0.0	10.806200ms	4	10.806200ms	0.0111669505338991	5.403400ms	2	5.403400ms	0.019428959192728745	
3	88	35	11051	138	0	61990.74	1	81214.606	2	82779.96400000002	8	88611.92199999999	5	84640.754	1.7976931348623157E308	0.0	29.495500ms	110	29.495500ms	8.554885664620371E-4	29.495500ms	110	29.495500ms	8.554885664620371E-4	7.191700ms	20	7.191700ms	0.0	4.069100ms	9	4.069100ms	0.010402153721867776	2.028ms	6	2.028ms	0.007248563839461468	
4	118	29	11196	145	0	55714.595	1	81214.606	2	82779.96400000002	7	88598.069	8	84160.044	1.7976931348623157E308	0.0	24.464500ms	110	24.464500ms	2.1795656069976334E-5	24.464500ms	110	24.464500ms	2.1795656069976334E-5	6.406700ms	20	6.406700ms	0.0	3.828ms	15	3.828ms	0.009954897885632403	1.871300ms	1	1.871300ms	0.0990832985700768	
5	149	30	11340	144	0	55714.594999999994	1	81214.606	2	82779.96400000002	6	88098.07200000004	8	84160.044	1.7976931348623157E308	0.0	26.442200ms	110	26.442200ms	0.0	26.442200ms	110	26.442200ms	0.0	2.867300ms	20	2.867300ms	0.0	4.369500ms	16	4.369500ms	0.0015731000299792075	2.141300ms	2	2.141300ms	5.551115123125783E-17	
6	177	28	11485	145	0	42353.705	1	81214.606	6	81948.93600000005	7	86368.09100000001	4	83283.99299999999	1.7976931348623157E308	0.0	24.088800ms	110	24.088800ms	0.0020315116800955495	24.088800ms	110	24.088800ms	0.0020315116800955495	1.285900ms	20	1.285900ms	0.0	4.108600ms	15	4.108600ms	0.006056343080352752	2.100200ms	14	2.100200ms	0.00150331344955482	
7	206	29	11701	216	0	35646.80999999999	7	78846.89600000001	1	81214.606	9	84869.64499999999	3	82847.61600000001	1.7976931348623157E308	0.0	24.425400ms	110	24.425400ms	0.0012140030441077445	24.425400ms	110	24.425400ms	0.0012140030441077445	1.443700ms	20	1.443700ms	0.0	5.357700ms	86	5.357700ms	0.0013455984695260688	2.864600ms	83	2.864600ms	3.45041434569423E-4	
8	235	28	11861	160	0	33087.007000000005	7	78846.89600000001	1	81214.606	5	84640.754	3	82847.61600000001	1.7976931348623157E308	0.0	24.012ms	110	24.012ms	4.562401322563641E-4	24.012ms	110	24.012ms	4.562401322563641E-4	1.485ms	20	1.485ms	4.85399409202697E-4	4.930800ms	30	4.930800ms	8.828990503382631E-4	2.508300ms	26	2.508300ms	8.756269549030466E-4	
9	264	29	12055	194	0	27146.629	7	78846.89600000001	1	81214.606	8	84160.044	3	82847.61600000001	1.7976931348623157E308	0.0	24.745600ms	110	24.745600ms	3.9628760371493383E-4	24.745600ms	110	24.745600ms	3.9628760371493383E-4	1.499200ms	20	1.499200ms	0.0	4.376100ms	65	4.376100ms	0.002483152046664248	2.362100ms	64	2.362100ms	0.002220979446705469	
10	293	29	12218	163	0	26587.216	7	78846.89600000001	1	81214.606	9	83733.025	3	82847.61600000001	1.7976931348623157E308	0.0	24.532300ms	110	24.532300ms	0.0	24.532300ms	110	24.532300ms	0.0	1.665700ms	20	1.665700ms	0.0	5.345600ms	33	5.345600ms	9.583085342290721E-4	2.741800ms	29	2.741800ms	7.105892760488189E-4	
11	321	27	12351	133	0	23999.707000000002	7	78846.89600000001	1	81214.606	4	83283.99299999999	2	82779.96400000002	1.7976931348623157E308	0.0	23.632300ms	110	23.632300ms	0.0	23.632300ms	110	23.632300ms	0.0	2.058100ms	20	2.058100ms	0.0	4.317300ms	5	4.317300ms	0.024843145353039442	2.184ms	2	2.184ms	0.0486607736590397	
