"generation"	"timeTotal"	"timeOfIteration"	"fitnessCallCountSoFar"	"fitnessCallCountOfIteration"	"idOfBest"	"costOfBest"	"idOfSecond"	"costOfSecond"	"idOfThird"	"costOfThird"	"idOfWorst"	"costOfWorst"	"idOfMedian"	"costOfMedian"	"diversity"	"geneBalance"	"spentTimeOfMutation"	"spentBudgetOfMutation"	"improvementCountPerRunOfMutation"	"improvementCountPerBudgetOfMutation"	"spentTimeOfMutationOnBest"	"spentBudgetOfMutationOnBest"	"improvementCountPerRunOfMutationOnBest"	"improvementCountPerBudgetOfMutationOnBest"	"spentTimeOfGeneTransfer"	"spentBudgetOfGeneTransfer"	"improvementCountPerRunOfGeneTransfer"	"improvementCountPerBudgetOfGeneTransfer"	"spentTimeOfBoost"	"spentBudgetOfBoost"	"improvementCountPerRunOfBoost"	"improvementCountPerBudgetOfBoost"	"spentTimeOfBoostOnBest"	"spentBudgetOfBoostOnBest"	"improvementCountPerRunOfBoostOnBest"	"improvementCountPerBudgetOfBoostOnBest"	
2	101	101	614397	614397	0	1379843.0	null	null	null	null	0	1379843.0	0	1379843.0	1.7976931348623157E308	0.0	94.731800ms	300	94.731800ms	6.465614851049254E-4	94.731800ms	300	94.731800ms	6.465614851049254E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
3	183	81	614697	300	0	1219956.0	null	null	null	null	0	1219956.0	0	1219956.0	1.7976931348623157E308	0.0	81.337300ms	300	81.337300ms	3.862444253923573E-4	81.337300ms	300	81.337300ms	3.862444253923573E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
4	268	85	614997	300	0	1047417.0	null	null	null	null	0	1047417.0	0	1047417.0	1.7976931348623157E308	0.0	84.427100ms	300	84.427100ms	4.714350353619312E-4	84.427100ms	300	84.427100ms	4.714350353619312E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
5	350	82	615297	300	0	965091.0	null	null	null	null	0	965091.0	0	965091.0	1.7976931348623157E308	0.0	81.845700ms	300	81.845700ms	2.6199689330992334E-4	81.845700ms	300	81.845700ms	2.6199689330992334E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
6	437	86	615597	300	0	909006.0	null	null	null	null	0	909006.0	0	909006.0	1.7976931348623157E308	0.0	85.895200ms	300	85.895200ms	1.9371230277766548E-4	85.895200ms	300	85.895200ms	1.9371230277766548E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
7	520	83	615897	300	0	863769.0	null	null	null	null	0	863769.0	0	863769.0	1.7976931348623157E308	0.0	82.490800ms	300	82.490800ms	1.658844936117032E-4	82.490800ms	300	82.490800ms	1.658844936117032E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
8	605	84	616197	300	0	820829.0	null	null	null	null	0	820829.0	0	820829.0	1.7976931348623157E308	0.0	84.127600ms	300	84.127600ms	1.6570788409092391E-4	84.127600ms	300	84.127600ms	1.6570788409092391E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
9	685	80	616497	300	0	790911.0	null	null	null	null	0	790911.0	0	790911.0	1.7976931348623157E308	0.0	80.085700ms	300	80.085700ms	1.2149505763888291E-4	80.085700ms	300	80.085700ms	1.2149505763888291E-4	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
10	767	81	616797	300	0	775254.0	null	null	null	null	0	775254.0	0	775254.0	1.7976931348623157E308	0.0	80.523ms	300	80.523ms	6.598719704239789E-5	80.523ms	300	80.523ms	6.598719704239789E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
11	847	80	617097	300	0	766595.0	null	null	null	null	0	766595.0	0	766595.0	1.7976931348623157E308	0.0	80.294900ms	300	80.294900ms	3.7230808655399994E-5	80.294900ms	300	80.294900ms	3.7230808655399994E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
12	930	82	617397	300	0	754938.0	null	null	null	null	0	754938.0	0	754938.0	1.7976931348623157E308	0.0	81.889100ms	300	81.889100ms	5.068734686068462E-5	81.889100ms	300	81.889100ms	5.068734686068462E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
13	1011	80	617697	300	0	740558.0	null	null	null	null	0	740558.0	0	740558.0	1.7976931348623157E308	0.0	80.250600ms	300	80.250600ms	6.349307272032053E-5	80.250600ms	300	80.250600ms	6.349307272032053E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
14	1093	82	617997	300	0	724166.0	null	null	null	null	0	724166.0	0	724166.0	1.7976931348623157E308	0.0	81.860800ms	300	81.860800ms	7.378220206925061E-5	81.860800ms	300	81.860800ms	7.378220206925061E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
15	1172	78	618297	300	0	712656.0	null	null	null	null	0	712656.0	0	712656.0	1.7976931348623157E308	0.0	77.978300ms	300	77.978300ms	5.2980486057984854E-5	77.978300ms	300	77.978300ms	5.2980486057984854E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
16	1257	85	618597	300	0	706275.0	null	null	null	null	0	706275.0	0	706275.0	1.7976931348623157E308	0.0	84.195700ms	300	84.195700ms	2.984609685458328E-5	84.195700ms	300	84.195700ms	2.984609685458328E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
17	1337	80	618897	300	0	701039.0	null	null	null	null	0	701039.0	0	701039.0	1.7976931348623157E308	0.0	79.639200ms	300	79.639200ms	2.4711809611459208E-5	79.639200ms	300	79.639200ms	2.4711809611459208E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
18	1422	84	619197	300	0	685729.0	null	null	null	null	0	685729.0	0	685729.0	1.7976931348623157E308	0.0	84.261300ms	300	84.261300ms	7.279671078689394E-5	84.261300ms	300	84.261300ms	7.279671078689394E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
19	1500	78	619497	300	0	676851.0	null	null	null	null	0	676851.0	0	676851.0	1.7976931348623157E308	0.0	77.841500ms	300	77.841500ms	4.315601838821663E-5	77.841500ms	300	77.841500ms	4.315601838821663E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
20	1586	85	619797	300	0	663648.0	null	null	null	null	0	663648.0	0	663648.0	1.7976931348623157E308	0.0	85.221800ms	300	85.221800ms	6.502169606013722E-5	85.221800ms	300	85.221800ms	6.502169606013722E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
21	1667	80	620097	300	0	651385.0	null	null	null	null	0	651385.0	0	651385.0	1.7976931348623157E308	0.0	79.841600ms	300	79.841600ms	6.159389716636951E-5	79.841600ms	300	79.841600ms	6.159389716636951E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
22	1751	83	620397	300	0	646409.0	null	null	null	null	0	646409.0	0	646409.0	1.7976931348623157E308	0.0	83.329700ms	300	83.329700ms	2.5463691467667582E-5	83.329700ms	300	83.329700ms	2.5463691467667582E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
23	1831	79	620697	300	0	643704.0	null	null	null	null	0	643704.0	0	643704.0	1.7976931348623157E308	0.0	79.361ms	300	79.361ms	1.3948856941451426E-5	79.361ms	300	79.361ms	1.3948856941451426E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
24	1913	82	620997	300	0	639245.0	null	null	null	null	0	639245.0	0	639245.0	1.7976931348623157E308	0.0	81.839400ms	300	81.839400ms	2.3090323088459006E-5	81.839400ms	300	81.839400ms	2.3090323088459006E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
25	1993	80	621297	300	0	632780.0	null	null	null	null	0	632780.0	0	632780.0	1.7976931348623157E308	0.0	79.527200ms	300	79.527200ms	3.371164420527354E-5	79.527200ms	300	79.527200ms	3.371164420527354E-5	0s	0	0s	0.0	0s	0	0s	0.0	0s	0	0s	0.0	
